,RE_Synch,RD_Synch,RD_Reic,RD_Reic2
WW506,2023-02-15 10:25:28.763000+00:00,2023-02-15 11:05:38.887000+00:00,2023-02-15 11:16:52.849000+00:00,2023-02-15 12:02:01.770000+00:00
WW501,,2023-02-15 11:05:35.537000+00:00,2023-02-15 11:16:49.569000+00:00,
WW504,2023-02-15 10:25:26.753000+00:00,2023-02-15 11:05:36.887000+00:00,2023-02-15 11:16:50.929000+00:00,2023-02-15 12:01:59.910000+00:00
WW507,2023-02-15 10:25:27.523000+00:00,2023-02-15 11:05:37.647000+00:00,2023-02-15 11:16:51.709000+00:00,2023-02-15 12:02:00.640000+00:00
BR604,,2023-02-15 11:05:36.837000+00:00,2023-02-15 11:16:50.879000+00:00,2023-02-15 12:01:59.850000+00:00
BR603,2023-02-15 10:25:26.833000+00:00,2023-02-15 11:05:36.987000+00:00,2023-02-15 11:16:50.979000+00:00,2023-02-15 12:01:59.900000+00:00
BR602,2023-02-15 10:25:27.253000+00:00,2023-02-15 11:05:37.317000+00:00,2023-02-15 11:16:51.359000+00:00,2023-02-15 12:02:00.300000+00:00
BR606,2023-02-15 10:25:27.493000+00:00,2023-02-15 11:05:37.607000+00:00,2023-02-15 11:16:51.649000+00:00,2023-02-15 12:02:00.570000+00:00
BR607,2023-02-15 10:25:26.923000+00:00,2023-02-15 11:05:37.067000+00:00,2023-02-15 11:16:51.099000+00:00,2023-02-15 12:02:00.010000+00:00
BR605,2023-02-15 10:25:26.393000+00:00,2023-02-15 11:05:36.437000+00:00,2023-02-15 11:16:50.539000+00:00,2023-02-15 12:01:59.470000+00:00
BR601,2023-02-15 10:25:27.193000+00:00,2023-02-15 11:05:37.337000+00:00,2023-02-15 11:16:51.359000+00:00,2023-02-15 12:02:00.350000+00:00
PC704,2023-02-15 10:25:28.113000+00:00,2023-02-15 11:05:38.397000+00:00,2023-02-15 11:16:52.429000+00:00,2023-02-15 12:02:01.400000+00:00
PC705,,2023-02-15 11:05:37.427000+00:00,2023-02-15 11:16:51.319000+00:00,2023-02-15 12:02:00.270000+00:00
PC703,2023-02-15 10:25:26.833000+00:00,2023-02-15 11:05:36.957000+00:00,2023-02-15 11:16:51.019000+00:00,2023-02-15 12:01:59.990000+00:00
PC701,2023-02-15 10:25:27.123000+00:00,2023-02-15 11:05:37.207000+00:00,2023-02-15 11:16:51.189000+00:00,2023-02-15 12:02:00.200000+00:00
PC702,2023-02-15 10:25:26.673000+00:00,2023-02-15 11:05:36.847000+00:00,2023-02-15 11:16:50.819000+00:00,2023-02-15 12:01:59.790000+00:00
PC707,2023-02-15 10:25:27.853000+00:00,2023-02-15 11:05:37.927000+00:00,2023-02-15 11:16:51.919000+00:00,2023-02-15 12:02:00.870000+00:00
