devID,s_corr0,s_corr_offset,s_offset_samples,s_offset_time,Length_xcorr_samples,Length_xcorr_time,auto_offset_time,Full_CCC,dt_offset,synch_dev_time
VN210,0.010906851446459183,0.32554082998094436,111,0.43359375,20481,81.92399999980907,9.243999999978456,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x17095d760>, <matplotlib.lines.Line2D object at 0x17095d6a0>)",2023-02-15 10:25:55.433593750+00:00,2023-02-15 10:25:27.006593750+00:00
VN105,0.0036085059076449402,0.49194879166207073,-82,-0.32799999999923557,20481,81.92399999980907,-0.32799999999923557,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x172c9e460>, <matplotlib.lines.Line2D object at 0x172c9e3a0>)",,2023-02-15 10:25:26.245000+00:00
VN106,0.02025483740954534,0.4579377617793167,-236,-0.9439999999977999,20481,81.92399999980907,-0.9439999999977999,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x174fdd970>, <matplotlib.lines.Line2D object at 0x174fdd8b0>)",,2023-02-15 10:25:25.629000+00:00
VN205,0.016674677772252282,0.42816377185508964,-160,-0.6399999999985084,20481,81.92399999980907,-0.6399999999985084,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x177320400>, <matplotlib.lines.Line2D object at 0x177320340>)",,2023-02-15 10:25:25.933000+00:00
PC704,0.022645188310217147,0.6802595564826118,1762,7.047999999983574,20481,81.92399999980907,7.047999999983574,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x17965c910>, <matplotlib.lines.Line2D object at 0x17965c850>)",,2023-02-15 10:25:33.621000+00:00
VN201,0.13838906880573967,0.44704456764162775,-21,-0.08399999999980423,20481,81.92399999980907,-0.08399999999980423,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x17b99d760>, <matplotlib.lines.Line2D object at 0x17b99d6a0>)",,2023-02-15 10:25:26.489000+00:00
VA301,0.0028424239549146814,0.3407699893098397,-447,-1.787999999995833,20481,81.92399999980907,-1.787999999995833,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x17dccc130>, <matplotlib.lines.Line2D object at 0x17dccc070>)",,2023-02-15 10:25:24.785000+00:00
WW507,0.00631819794964701,0.49717807850399354,-245,-0.979999999997716,20481,81.92399999980907,-0.979999999997716,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x18000d340>, <matplotlib.lines.Line2D object at 0x18000d280>)",,2023-02-15 10:25:25.593000+00:00
BR601,0.04224048730372983,0.5604186249582784,2015,8.059999999981216,20481,81.92399999980907,8.059999999981216,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x18233fca0>, <matplotlib.lines.Line2D object at 0x18233fbe0>)",,2023-02-15 10:25:34.633000+00:00
BR602,0.037906124868601045,0.46673090460143585,-172,-0.6879999999983966,20481,81.92399999980907,-0.6879999999983966,"(array([-10240, -10239, -10238, ...,  10238,  10239,  10240]), array([0., 0., 0., ..., 0., 0., 0.]), <matplotlib.collections.LineCollection object at 0x184681b50>, <matplotlib.lines.Line2D object at 0x184681a90>)",,2023-02-15 10:25:25.885000+00:00
